,unnamed: 0,name,platform,year_of_release,genre,publisher,na_players,eu_players,jp_players,other_players,global_players,critic_score,critic_count,user_score,user_count,developer,rating
5801,5802,Ganbare Goemon 2: Kiteretsu Shougun Magginesu,SNES,1993.0,Platform,Konami Digital Entertainment,0.0,0.0,0.31,0.0,0.31,,,,,,
5858,5859,Famista '91,NES,1990.0,Sports,Namco Bandai Games,0.0,0.0,0.3,0.0,0.3,,,,,,
5875,5876,Quake II,N64,1999.0,Shooter,Activision,0.24,0.06,0.0,0.0,0.3,,,,,,
5890,5891,Stranglehold,PS3,2007.0,Shooter,Midway Games,0.24,0.02,0.0,0.03,0.3,77.0,22.0,7.9,48.0,Midway,M
5933,5934,Radiant Historia,DS,2010.0,Role-Playing,Atlus,0.19,0.0,0.09,0.01,0.29,85.0,30.0,9,81.0,Atlus,E10+
6021,6022,Just Dance Wii 2,Wii,2012.0,Misc,Nintendo,0.0,0.0,0.29,0.0,0.29,,,,,,
6103,6104,Street Hoops,XB,2002.0,Sports,Activision,0.21,0.06,0.0,0.01,0.28,58.0,22.0,8,4.0,Black Ops Entertainment,T
6135,6136,Kung Fu Chaos,XB,2003.0,Fighting,Microsoft Game Studios,0.21,0.06,0.0,0.01,0.28,68.0,41.0,8.5,27.0,Just Add Monsters,T
6182,6183,NBA In The Zone,PS,1995.0,Sports,Konami Digital Entertainment,0.16,0.11,0.0,0.02,0.28,,,,,,
6201,6202,Trivial Pursuit,PS3,2009.0,Misc,Electronic Arts,0.12,0.11,0.0,0.05,0.28,66.0,13.0,7.1,7.0,EA Bright Light,E
6257,6258,Over the Hedge,DS,2006.0,Platform,Activision,0.24,0.01,0.0,0.02,0.27,71.0,17.0,6.4,9.0,Vicarious Visions,E
6268,6269,GRID 2,X360,2013.0,Racing,Codemasters,0.08,0.16,0.0,0.03,0.27,78.0,51.0,5.8,156.0,Codemasters,E
6295,6296,Rocky: Legends,PS2,2004.0,Action,Ubisoft,0.13,0.1,0.0,0.03,0.27,65.0,24.0,8.6,12.0,Venom Games,T
6301,6302,Bridge,2600,1980.0,Misc,Activision,0.25,0.02,0.0,0.0,0.27,,,,,,
6344,6345,NHL 2K11,Wii,2010.0,Sports,Take-Two Interactive,0.23,0.02,0.0,0.02,0.27,62.0,12.0,5.8,4.0,Visual Concepts,E10+
6358,6359,Thoroughbred Breeder II,SNES,1994.0,Simulation,Hect,0.0,0.0,0.27,0.0,0.27,,,,,,
6478,6479,Tom and Jerry in War of the Whiskers,PS2,2002.0,Fighting,Ubisoft,0.13,0.1,0.0,0.03,0.26,,,,,,
6626,6627,Cartoon Network Collection: Game Boy Advance Video Volume 1,GBA,2004.0,Misc,,0.18,0.07,0.0,0.0,0.25,,,,,,
6638,6639,Ben 10 Triple Pack,DS,2011.0,Misc,D3Publisher,0.12,0.11,0.0,0.02,0.25,,,tbd,,D3Publisher,E10+
6775,6776,That's So Raven: Psychic on the Scene,DS,2006.0,Adventure,Disney Interactive Studios,0.23,0.0,0.0,0.02,0.24,,,tbd,,Handheld Games,E
6820,6821,Lunar: Silver Star Harmony,PSP,2009.0,Role-Playing,GungHo,0.19,0.0,0.03,0.02,0.24,80.0,26.0,7.7,47.0,Game Arts,T
6863,6864,Metro 2033,PC,2010.0,Shooter,THQ,0.0,0.19,0.0,0.05,0.24,81.0,40.0,8.1,1472.0,4A Games,M
6901,6902,Harry Potter and the Order of the Phoenix,PS3,2007.0,Action,Electronic Arts,0.18,0.03,0.0,0.03,0.24,67.0,35.0,6.6,25.0,EA Games,E10+
6956,6957,NBA Live 15,PS4,2014.0,Sports,Electronic Arts,0.16,0.04,0.0,0.04,0.23,59.0,24.0,5.6,86.0,EA Sports,E
7001,7002,M&M's Kart Racing,Wii,2007.0,Racing,Zoo Digital Publishing,0.21,0.0,0.0,0.02,0.23,,,,,,
7010,7011,Game & Wario,WiiU,2013.0,Misc,Nintendo,0.05,0.06,0.12,0.01,0.23,,,,,,
7110,7111,Digimon World DS (JP sales),DS,2006.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.23,0.0,0.23,,,,,,
7212,7213,Child of Eden,PS3,2011.0,Shooter,Ubisoft,0.09,0.1,0.0,0.04,0.22,81.0,21.0,7.8,25.0,Q Entertainment,E10+
7334,7335,MTV Celebrity Deathmatch,XB,2003.0,Fighting,Gotham Games,0.16,0.05,0.0,0.01,0.21,,,,,,
7355,7356,Breakaway IV,2600,,Puzzle,Sears,0.2,0.01,0.0,0.0,0.21,,,,,,
7356,7357,RealSports Baseball,2600,1981.0,Sports,Atari,0.2,0.01,0.0,0.0,0.21,,,,,,
7369,7370,NOëL: NOT DiGITAL,PS,1996.0,Adventure,Pioneer LDC,0.0,0.0,0.2,0.01,0.21,,,,,,
7389,7390,Order Up!,Wii,2008.0,Misc,Zoo Digital Publishing,0.19,0.01,0.0,0.02,0.21,,,,,,
7393,7394,Ninja Gaiden: Dragon Sword,DS,2008.0,Action,Tecmo Koei,0.16,0.01,0.02,0.02,0.21,83.0,52.0,7.8,36.0,Team Ninja,T
7408,7409,The Wolf Among Us,PS4,2014.0,Adventure,Telltale Games,0.1,0.07,0.0,0.04,0.21,83.0,6.0,8.4,259.0,Telltale Games,M
7586,7587,Odin Sphere: Leifthrasir,PS4,2016.0,Role-Playing,Nippon Ichi Software,0.07,0.04,0.07,0.02,0.2,87.0,49.0,8.2,178.0,Vanillaware,T
7607,7608,Roadsters 99,N64,1999.0,Racing,Titus,0.06,0.13,0.0,0.01,0.2,,,,,,
7726,7727,Sniper Elite,PS2,2005.0,Shooter,Ubisoft,0.1,0.07,0.0,0.02,0.19,76.0,21.0,8.9,36.0,Rebellion,M
7737,7738,UFC Personal Trainer: The Ultimate Fitness System,PS3,2011.0,Sports,THQ,0.08,0.08,0.0,0.03,0.19,65.0,8.0,2.4,5.0,THQ,E
7850,7851,Pro Yakyuu Team o Tsukurou!,DS,2008.0,Sports,Sega,0.0,0.0,0.19,0.0,0.19,,,,,,
8025,8026,Tekken Tag Tournament 2,WiiU,2012.0,Fighting,Namco Bandai Games,0.09,0.07,0.01,0.01,0.18,,,,,,
8069,8070,UFC Personal Trainer: The Ultimate Fitness System,Wii,2011.0,Sports,THQ,0.11,0.06,0.0,0.02,0.18,54.0,5.0,tbd,,THQ,E
8152,8153,Otomedius Excellent,X360,,Shooter,Unknown,0.13,0.0,0.04,0.01,0.18,48.0,8.0,8.1,16.0,Konami,T
8153,8154,Charlie and the Chocolate Factory,GC,2005.0,Adventure,Global Star,0.14,0.04,0.0,0.0,0.18,39.0,16.0,3.2,6.0,"High Voltage Software, Backbone Entertainment",E
8199,8200,NBA Live 16,PS4,2015.0,Sports,Electronic Arts,0.1,0.04,0.0,0.03,0.18,59.0,27.0,6.1,70.0,EA Sports,E
8214,8215,Sports Illustrated for Kids: Baseball,GBA,2001.0,Sports,BAM! Entertainment,0.12,0.05,0.0,0.0,0.17,39.0,4.0,tbd,,Sennari Interactive,E
8252,8253,The Secret World,PC,2012.0,Role-Playing,Funcom,0.07,0.08,0.0,0.02,0.17,74.0,55.0,8.2,1326.0,Funcom,M
8262,8263,Disney's Atlantis: The Lost Empire,PS,2001.0,Platform,Sony Computer Entertainment,0.1,0.07,0.0,0.01,0.17,73.0,7.0,8.5,6.0,Eurocom Entertainment Software,E
8321,8322,Mahjong Fight Club,PSP,2004.0,Misc,Konami Digital Entertainment,0.0,0.0,0.17,0.0,0.17,,,,,,
8366,8367,Anarchy Reigns,X360,2012.0,Action,Sega,0.12,0.02,0.02,0.01,0.17,73.0,38.0,7.9,105.0,PlatinumGames,M
8502,8503,The Legend of Heroes VII: The Trail of Zero,PSP,2010.0,Role-Playing,Falcom Corporation,0.0,0.0,0.16,0.0,0.16,,,,,,
8549,8550,The BIGS,PS3,2007.0,Sports,Take-Two Interactive,0.15,0.0,0.0,0.01,0.16,77.0,19.0,7.2,12.0,Blue Castle Games,E
8634,8635,Mr. Driller 2,GBA,2001.0,Puzzle,Namco Bandai Games,0.0,0.0,0.15,0.0,0.16,62.0,16.0,tbd,,Namco,E
8682,8683,Toriko: Gourmet Monsters!,3DS,2012.0,Role-Playing,Namco Bandai Games,0.0,0.0,0.16,0.0,0.16,,,,,,
8742,8743,Klax,2600,1989.0,Puzzle,Atari,0.14,0.01,0.0,0.0,0.15,,,,,,
8886,8887,Geist,GC,2005.0,Adventure,Nintendo,0.11,0.03,0.0,0.0,0.15,66.0,43.0,8.5,23.0,n-Space,M
8920,8921,The Legend of Heroes: Trails of Cold Steel II,PS3,2014.0,Role-Playing,Nippon Ichi Software,0.02,0.02,0.11,0.01,0.15,90.0,4.0,7.8,71.0,Falcom,T
9045,9046,Doshin the Giant,GC,2002.0,Simulation,Nintendo,0.0,0.0,0.14,0.0,0.14,,,,,,
9121,9122,Pro Evolution Soccer 2015,XOne,2014.0,Sports,Konami Digital Entertainment,0.03,0.1,0.0,0.01,0.14,79.0,9.0,7.3,65.0,Konami,E
9153,9154,Micro Machines 64 Turbo,N64,1999.0,Racing,Codemasters,0.11,0.03,0.0,0.0,0.14,,,,,,
9220,9221,Space Venus starring Morning Musume,PS2,2001.0,Misc,Sony Music Entertainment,0.0,0.0,0.14,0.0,0.14,,,,,,
9295,9296,MotoGP '06,X360,2006.0,Racing,THQ,0.11,0.01,0.0,0.01,0.14,80.0,50.0,7.7,13.0,"Climax Group, Climax Studios",E
9382,9383,History Civil War: Secret Missions,X360,2008.0,Shooter,Activision,0.12,0.0,0.0,0.01,0.13,,,,,,
9487,9488,Cabela's Alaskan Adventure,X360,2006.0,Sports,Activision,0.12,0.0,0.0,0.01,0.13,48.0,11.0,5.6,17.0,FUN Labs,T
9518,9519,Destroy All Humans! Path of the Furon,X360,2008.0,Action,THQ,0.08,0.04,0.0,0.01,0.13,,,,,,
9666,9667,SCORE International Baja 1000: The Official Game,X360,2008.0,Racing,Activision,0.11,0.01,0.0,0.01,0.12,,,,,,
9705,9706,Colony Wars III: Red Sun,PS,2000.0,Simulation,Psygnosis,0.07,0.05,0.0,0.01,0.12,,,,,,
9708,9709,Backyard Baseball '09,DS,2008.0,Sports,Atari,0.11,0.0,0.0,0.01,0.12,,,tbd,,Humongous Entertainment,E
9740,9741,Mobile Suit Gundam Seed: Rengou vs. Z.A.F.T. Portable,PSP,2007.0,Shooter,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
9763,9764,Legend of the Guardians: The Owls of Ga'Hoole,DS,2010.0,Action,Warner Bros. Interactive Entertainment,0.11,0.01,0.0,0.01,0.12,33.0,5.0,tbd,,Tantatus,E10+
9819,9820,Backyard Sports Football: Rookie Rush,Wii,2010.0,Sports,Atari,0.11,0.0,0.0,0.01,0.12,,,,,,
9829,9830,PBR: Out of the Chute,Wii,2008.0,Sports,Crave Entertainment,0.11,0.0,0.0,0.01,0.12,,,,,,
9832,9833,College Hoops 2K6,X360,2006.0,Sports,Take-Two Interactive,0.11,0.0,0.0,0.01,0.12,70.0,17.0,7.3,11.0,2K Sports,E
9857,9858,Yakuza Kiwami,PS3,2016.0,Adventure,Sega,0.0,0.0,0.12,0.0,0.12,,,,,,
9878,9879,Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,PSP,2010.0,Shooter,Namco Bandai Games,0.0,0.0,0.12,0.0,0.12,,,,,,
10052,10053,Blood Drive,X360,2010.0,Racing,Activision,0.09,0.01,0.0,0.01,0.11,40.0,21.0,6.5,10.0,Sidhe Interactive,M
10260,10261,My Little Sister Can't Be This Cute Portable,PSP,2012.0,Action,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,,,,,,
10319,10320,Victory Zone,PS,1995.0,Misc,Sony Computer Entertainment,0.0,0.0,0.1,0.01,0.11,,,,,,
10467,10468,The Lord of the Rings: Conquest,DS,2009.0,Action,Electronic Arts,0.09,0.01,0.0,0.01,0.1,61.0,9.0,7.8,6.0,Artificial Mind and Movement,E10+
10488,10489,Exit DS,DS,2008.0,Puzzle,Square Enix,0.09,0.0,0.01,0.01,0.1,64.0,25.0,6.7,6.0,Moss,E
10614,10615,SNK vs. Capcom: SVC Chaos,XB,2004.0,Fighting,Ignition Entertainment,0.08,0.02,0.0,0.0,0.1,,,,,,
10688,10689,Idol Janshi Suchie-Pai Remix,SAT,1995.0,Misc,Jaleco,0.0,0.0,0.1,0.0,0.1,,,,,,
10766,10767,CSI: Hard Evidence,X360,2007.0,Adventure,Ubisoft,0.07,0.02,0.0,0.01,0.1,,,,,,
10792,10793,iCarly 2: iJoin The Click!,Wii,2010.0,Adventure,Activision,0.08,0.01,0.0,0.01,0.1,,,9,10.0,Big Blue Bubble Inc.,E
10839,10840,Whacked!,XB,2002.0,Misc,Microsoft Game Studios,0.07,0.02,0.0,0.0,0.09,,,,,,
10995,10996,Alvin and the Chipmunks: Chipwrecked,Wii,2011.0,Misc,505 Games,0.07,0.01,0.0,0.01,0.09,,,tbd,,Behaviour Interactive,E10+
11002,11003,U-Sing  2,Wii,2010.0,Misc,Mindscape,0.0,0.08,0.0,0.01,0.09,,,,,,
11018,11019,Driver: Renegade,3DS,2011.0,Racing,Ubisoft,0.05,0.04,0.0,0.01,0.09,48.0,13.0,5,20.0,Ubisoft,M
11094,11095,Space Invaders Extreme,PSP,2008.0,Shooter,Square Enix,0.06,0.01,0.01,0.01,0.09,84.0,29.0,6.8,13.0,Taito Corporation,E
11121,11122,Fate/Extella: The Umbral Star,PSV,2016.0,Action,PQube,0.0,0.0,0.09,0.0,0.09,,,,,Marvelous Inc.,T
11340,11341,Angry Birds Star Wars,PSV,2013.0,Strategy,Activision,0.03,0.03,0.0,0.02,0.08,,,2,13.0,Exient Entertainment,E
11379,11380,Miami Nights: Singles in the City,DS,2008.0,Simulation,Ubisoft,0.08,0.0,0.0,0.01,0.08,48.0,6.0,7.1,7.0,Gameloft,T
11435,11436,Seven Samurai 20XX,PS2,2004.0,Action,Sega,0.04,0.03,0.0,0.01,0.08,52.0,31.0,7,6.0,Dimps Corporation,T
11457,11458,Nobunaga's Ambition: Rise to Power,PS2,2004.0,Strategy,Tecmo Koei,0.0,0.0,0.08,0.0,0.08,70.0,7.0,8.8,6.0,Koei,T
11552,11553,Disney's Meet the Robinsons,X360,2007.0,Action,Disney Interactive Studios,0.07,0.0,0.0,0.01,0.08,65.0,21.0,tbd,,Buena Vista Games,E10+
11567,11568,Ogre Battle Series: Tactics Ogre,PS,1997.0,Role-Playing,Atlus,0.04,0.03,0.0,0.01,0.08,,,,,,
